=== Task: binary_addition ===
architecture	PE	using_stack	learning_rate	accuracy
=== Task: odds_first ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.479195686429739
Stack_RNN	NONE	False	0.0005	0.4593387383595109
Stack_RNN	NONE	False	0.0001	0.43072784278541804
Stack_RNN	NONE	False	5e-05	0.4021866361051798
Transformer	NONE	False	0.001	0.2942930497229099
Transformer	NONE	False	0.0005	0.2939606174454093
Transformer	NONE	False	0.0001	0.29375945404171944
Transformer	NONE	False	5e-05	0.29384661119431255
Transformer	ALIBI	False	0.001	0.5793790207803249
Transformer	ALIBI	False	0.0005	0.5752026163414121
Transformer	ALIBI	False	0.0001	0.5182239684090019
Transformer	ALIBI	False	5e-05	0.4901133596524596
Transformer	NONE	True	0.001	0.6653161481022835
Transformer	NONE	True	0.0005	0.6669078186154366
Transformer	NONE	True	0.0001	0.6568478040397168
Transformer	NONE	True	5e-05	0.6049828312546015
Transformer	ALIBI	True	0.001	0.5546830109506845
Transformer	ALIBI	True	0.0005	0.5867507168278098
Transformer	ALIBI	True	0.0001	0.5863258801028133
Transformer	ALIBI	True	5e-05	0.5237486647069454
